id           date       TMAX  TMIN  PRCP
MX000017004  2010-04-09  inf  inf  inf
MX000017004  2010-04-10  inf  inf  inf
MX000017004  2010-04-11  inf  inf  inf
MX000017004  2010-04-12  inf  inf  inf
MX000017004  2010-04-13  inf  inf  inf
MX000017004  2010-04-14  inf  inf  inf
MX000017004  2010-04-15  inf  inf  inf
MX000017004  2010-04-16  inf  inf  inf
MX000017004  2010-04-17  inf  inf  inf
MX000017004  2010-04-18  inf  inf  inf
MX000017004  2010-04-19  inf  inf  inf
MX000017004  2010-04-20  inf  inf  inf
MX000017004  2010-04-21  inf  inf  inf
MX000017004  2010-04-22  inf  inf  inf
MX000017004  2010-04-23  inf  inf  inf
MX000017004  2010-04-24  inf  inf  inf
MX000017004  2010-04-25  inf  inf  inf
MX000017004  2010-04-26  inf  inf  inf
MX000017004  2010-04-27  363  167  0
MX000017004  2010-04-28  inf  inf  inf
MX000017004  2010-04-29  inf  inf  inf
MX000017004  2010-04-30  inf  inf  0
MX000017004  2010-05-01  inf  inf  inf
MX000017004  2010-05-02  inf  inf  inf
MX000017004  2010-05-03  inf  inf  inf
MX000017004  2010-05-04  inf  inf  0
MX000017004  2010-05-05  inf  inf  inf
MX000017004  2010-05-06  inf  inf  0
MX000017004  2010-05-07  inf  inf  inf
MX000017004  2010-05-08  inf  inf  0
MX000017004  2010-05-09  inf  inf  inf
MX000017004  2010-05-10  inf  inf  inf
MX000017004  2010-05-11  inf  inf  0
MX000017004  2010-05-12  inf  inf  inf
MX000017004  2010-05-13  inf  inf  0
MX000017004  2010-05-14  inf  inf  inf
MX000017004  2010-05-15  inf  inf  inf
MX000017004  2010-05-16  inf  inf  inf
MX000017004  2010-05-17  inf  inf  inf
MX000017004  2010-05-18  inf  inf  0
MX000017004  2010-05-19  inf  inf  inf
MX000017004  2010-05-20  inf  inf  0
MX000017004  2010-05-21  inf  inf  inf
MX000017004  2010-05-22  inf  inf  inf
MX000017004  2010-05-23  inf  inf  inf
MX000017004  2010-05-24  inf  inf  inf
MX000017004  2010-05-25  inf  inf  inf
MX000017004  2010-05-26  inf  inf  inf
MX000017004  2010-05-27  332  182  0
MX000017004  2010-05-28  inf  inf  inf
MX000017004  2010-05-29  inf  inf  25
MX000017004  2010-05-30  inf  inf  inf
MX000017004  2010-05-31  inf  inf  0
